courier_id,order_number,courier_location_timestamp,courier_lat,courier_lon,order_created_timestamp,restaurant_lat,restaurant_lon,restaurant_id
f522e6cbhoho5741hoho4a9ehoho8fa9hoho7fad1b96a3bd,281341696,2021-04-02T05:41:54.330Z,50.4047384,-104.6457332,2021-04-02T05:30:06Z,50.40480198147917,-104.64597344047549,14
62ebc9f1hohoc19bhoho458fhoho98d2hohoa09270316ed9,281302095,2021-04-02T04:51:10.715Z,50.46332780259435,-104.61849026062978,2021-04-02T04:38:30Z,50.4632682,-104.6185189,15
30a6cb7fhoho1825hoho407ehoho97f0hoho9d374a6b2f20,281355547,2021-04-02T05:57:28.332Z,50.47737958219141,-104.61759760714546,2021-04-02T05:47:19Z,50.4774800401,-104.617424985,16
60ff30a9hoho7ffehoho4289hohob861hohoa47d6b5a6586,281351133,2021-04-02T05:57:57.297Z,50.44264265544762,-104.55065338586614,2021-04-02T05:41:59Z,50.4424260899,-104.550327853,17
95f1b215hohob7a0hoho4d2bhohob0d4hohoa78e7914aa2f,280946273,2021-04-01T06:26:47.265Z,50.447389426337836,-104.58792864059512,2021-04-01T05:59:54Z,50.44735374510172,-104.5877495371094,18
54c892dchoho984bhoho4b4bhohoa88fhohod84597e36da5,281275675,2021-04-02T04:02:32.237Z,50.4506505,-104.6068376,2021-04-02T04:00:45Z,50.4507793,-104.6067218,19
3aebe654hoho2020hoho427ahoho94dahohoa40a47a9def1,281308124,2021-04-02T05:17:04.253Z,50.47790801473442,-104.61748394854028,2021-04-02T04:46:37Z,50.4781747,-104.61752109999998,20
576edad4hohoca4ehoho4b92hoho8163hoho73fd5d39603d,281327258,2021-04-02T05:40:02.237Z,50.4499816698885,-104.61234002283562,2021-04-02T05:11:47Z,50.450153,-104.6118728,21
38bbcffdhoho8f3dhoho4d01hohobdf9hoho1419d6dd27b3,281297584,2021-04-02T04:47:23.323Z,50.473587502544255,-104.61778208862373,2021-04-02T04:32:12Z,50.4737533,-104.6177234,22
c44e9137hohof007hoho4b05hoho95a8hoho46248a23ed68,281334983,2021-04-02T05:24:03.557Z,50.4018023,-104.6240507,2021-04-02T05:21:30Z,50.4024646,-104.6231499,23
1c06234chohod378hoho4fbchohob27bhoho506e77b8cd65,281336612,2021-04-02T05:48:06.157Z,50.4955253,-104.6666868,2021-04-02T05:23:34Z,50.4951598,-104.6657333,4
